1,Fruit Pizza,,"Mix the white cake mix, sugar, water, and eggs.

Spread batter thinly onto two pans and bake 350 F for 15-20 minutes.

Let cool completely

Whip cream and add vanilla and sugar to taste.

Slice a variety of fruit and mix together.

Spread cream over crusts, then add fruit over cream.

Heat preserves and water in microwave for 30 seconds, mix well and drizzle over fruit.

Keep in refrigerator.",
2,Baking Powder Biscuits,,"Combine flour, sugar, salt, and baking powder.

Cut in the shortening and make a coarse crumb mix.

Make a well in the center, add all liquids at once.

Stir until dough just clings together.

Turn out on a lightly floured board, pat into 3/4 inch thickness.
Using a sharp edged cutter, press out rounds and place on baking sheet

Bake at 425 F for 10-12 minutes",
3,Steamed Eggs,,"Crack eggs into a microwave safe or steam safe bowl and beat into a homogenous mixture. Season the mixture with salt.

Pour into bowl of water and bouillon mixture or stock. Beat into a homogenous mixture.

To steam using the microwave, loosely cover the bowl with a microwave safe lid and microwave for 1 minute and 30 seconds. 
If not cooked yet, continue to microwave in 30 second intervals. 

To steam using a steaming rack and a pot, fill the pot with water up to the grate and place bowl on top of grate. Cover the pot with a lid and bring to a boil, then lower the heat to let simmer. Steam until cooked, which should take less than 5 minutes.",
4,Tomato Egg Stirfry,,"Crack eggs into a bowl and beat into a homogenous mixture. Season the mixture.

Add oil into a pan and turn on medium high heat. 

Pour in egg mixture and wait for the bottom to cook, then lift the cooked layer for any remaining mixture to cook. Or scramble. 

Set aside cooked eggs and add tomatoes to the pan to cook at medium heat. Season with salt and sugar.

Once the tomatoes are soft and beginning to seep juices, add the cooked eggs back into the pan with the tomatoes. 

Stir to incorporate the tomato juice with the cooked eggs and continue to cook until the tomatoes are to desired doneness.",
5,Congee,,"Add rice to pot of water, bring to a boil then turn heat down to a simmer.

Add chicken bouillon, stir to incorporate.

Add optional ingredients, simmer until desired texture. ","WHEN COOKING: Adjust water to preference. Congee will continue to thicken as it cools.

FOR TASTE: It is recommended to add grated or sliced ginger, sliced spring onion, and soysauce. Other common toppings include fried breadsticks, century egg, and fermented vegetables."
6,Spanish Rice,,"Cut tomatoes into quarters. Blend water, tomatoes, chicken and tomato bouillon.

Heat oil in frying pan on medium heat. Add rice and cook until golden brown. 

Add blended mixture. Stir and cover pan. Let simmer on low heat for 20 minutes or until all is cooked and there is no water left.",
7,Salsa Verde,,"Broil tomatillos and serrano peppers for about 3 minutes. Flip and broil for another 3 minutes. 

Blend tomatillos, serrano peppers, garlic, and onion. Add salt and chopped cilantro. ",
8,Salsa Roja,,"Heat a pan over medium-high heat. Add water. 

Add chile Japones (can be substituted by chile de arbol), tomatillos, onion, and garlic.

Cook until blistered or charred. Blend and add chicken bouillon and salt. ",
9,Guacamole,,"Blend avocados, serrano peppers, garlic, onion, milk, and salt.",
10,Cactus Salad,,"Remove prickles from cactus and wash. Dice cactus. 

Boil water. Add salt and cactus. Boil for 15 minutes. When cactus are cooked, remove from hot water and let cool down.

In a bowl, mix cactus, diced tomato, diced onion, chopped cilantro, pepper, and salt to taste. ",
11,Corn Chowder,,"Bring corn, potatoes, onion, stock, and pepper to a boil; cover and simmer until potato is soft.

Stir in 1.5 cup milt and butter.

Combine remaining milk and four into a slurry.

Stir into pot, stirring constantly until thick and bubbly.

Cook 1 more minute.

Add ham and heat through.",
12,Chili,,"Saute onion, then add meat and brown.

Add all remaining ingredients and some water.

Simmer for at least 15-20 minutes.",
13,Beef Steak Stroganoff,,"Brown steak in oil. Then remove from pan and cut into cubes.

Brown onion.

Stir in flour.

Add all other ingredients except noodles.

Simmer or put in oven at 325°F for 1 hour.

Serve with egg noodles.",
14,Noodle Hot Dish,,"Cook egg noodles.

Brown hamburger, drain excess grease.

Add all ingredients together.

Bake covered for 1 hour at 350°F.",
15,Egg Pancakes,,"Whisk all ingredients together. Let mixture sit overnight. Butter a shallow pan. Pour batter into pan and let cook until bubbles appear, then flip. ",
16,Lasagna,,"In large fry pan saute onion and garlic. Add meat, brown lightly and drain off excess fat.

Combine together sugar, salt, oregano, rosemary, and parsley.

Add meat together with tomatoes and tomato sauce. Simmer 30-40 minutes, stirring occasionally.

Cook noodles, drain and rinse in cold water.

Place half of lasagna noodles in a 9x13 oven pan. Cover with 1/3 sauce, half of the mozzarella, and half the cottage cheese. Repeat and end with sauce on top.

Bake at 350°F for 30 minutes.",
17,Fried Rice,,"Saute meat in a small amount of oil and remove from pan.

Add onion, saute until soft and remove from pan.

Scramble eggs in more oil if needed.

Return ingredients together in pan and serve.",
18,Pyrogy - Verinke,,"In a large bowl combine water, oil, and salt. Beat with whisk.

Gradually beat in flour and sour cream, using your hands as it becomes stiff.

After all flour has been added, put on lightly floured flat surface and work until the dough is smooth and no longer sticky.

Put dough in covered bowl and let rest.

Roll out a portion of dough on a lightly floured surface—not too thin—roughly the thickness of a pie crust.

Use a round cookie cutter to cut into circles.

Place approximately 1 teaspoon filling in center. Fold over to make a half circle. Using floured hands pinch edges together.

Drop carefully into salted boiling water to cook, don’t overcrowd the pot. Stir gently and let rise to top—boiling approximately 5 minutes. Drain with a slotted spoon or colander.

Can be fried in butter if desired.",Makes 50-60 Pyrogies
19,Pyrogy - Verinke Fillings,,"Combine the dry curd cottage cheese, chopped onions, eggs, salt, and pepper. 

Mix until it sticks together when squeezed. This makes approx. 100 pyrogy depending on the size. 

Combine the medium onion chopped finely, cooked mashed potatos, sour cream, grated cheddar cheese, salt and pepper. 

Then mix so it sticks together - chill. ",Makes ~100 pyrogies
20,Potato Soup,,"Fry chopped bacon. Add celery and onion. Saute till clear. 

Add water, salt, potato, and soup mix. Cook until potatoes are soft. 

Mash potatoes slightly. Salt and pepper to taste. ",
21,Beef Barley Soup,,"Combine all ingredients in sauce pan: beef, beef broth, onion, celery, carrot, garlic, salt, diced tomatoes, barley, and bayleaf. 

Bring to boil. Simmer one hour or till barley is barely cooked. Salt and pepper to taste. 

If extra flavor is needed, add beef soup drymix. 

Remove bayleaf before serving. Serves 4. ",
22,Beef Stew,,"Cut beef into 1 inch cubes. Pat dry with paper towel. Heat oil and margarine in heavy skillet. 

Brown meat well - one layer at a time remove from pan - set aside.

Saute onions until golden in color. May need to add a little more margarine. 

Stir in the flour - brown. Add in bouillon and seasonings. 

Return meat to the pan. Simmer partially covered till tender - 1 - 1 1/2 hours. 

This portion may be refrigerated overnight to allow flavors to blend or proceed by adding the vegetables (except peas) cook till tender 30-40 minutes.

Add peas and parsley near the end of the cooking time. 

If the gravy is thin - mix together several tbsp. of flour and water in a jar. Slowly add and stir in stew mixture. Cook until it bubbles and thickens. 

If too thick - add water. 

Add extra beef base granules if needed for flavor. ",
23,Chickpea and Tomato Stew,,"Saute onion and garlic in a large pot. Add all spices. Once onion is translucent, add tomatos, broth, and chickpeas. Let simmer until chickpeas are soft. ",
